N,M,algorithm,mean_ms,std_ms,gpu_ms,gpu_std,speedup
100,2,CPP-NSGA2,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,CPP-DCNS,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,CPP-BOS,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,GPU-NDS,14.017193472385406,37.14706228784157,14.017193472385406,37.14706228784157,1.0
500,2,CPP-NSGA2,1.3956,2.088069788105752,2.9565407991409303,0.23693750134984476,0.4720381333501346
500,2,CPP-DCNS,0.6905999999999999,1.2661861790431925,2.9565407991409303,0.23693750134984476,0.2335837882570958
500,2,CPP-BOS,0.4023,1.2069,2.9565407991409303,0.23693750134984476,0.13607118160415532
500,2,GPU-NDS,2.9565407991409303,0.23693750134984476,2.9565407991409303,0.23693750134984476,1.0
1000,2,CPP-NSGA2,5.5416,2.107145661789901,5.53286395072937,0.2948206983415922,1.0015789380234947
1000,2,CPP-DCNS,3.0942,2.1227007702453022,5.53286395072937,0.2948206983415922,0.5592402104143744
1000,2,CPP-BOS,0.7440999999999999,0.6271839363376585,5.53286395072937,0.2948206983415922,0.13448731192855534
1000,2,GPU-NDS,5.53286395072937,0.2948206983415922,5.53286395072937,0.2948206983415922,1.0
2000,2,CPP-NSGA2,21.533499999999997,1.9353608061547591,11.335599899291992,0.32733519696092334,1.8996347958033482
2000,2,CPP-DCNS,12.179599999999999,1.9218579656155654,11.335599899291992,0.32733519696092334,1.0744557066415799
2000,2,CPP-BOS,2.4227,1.2045874023913747,11.335599899291992,0.32733519696092334,0.2137249039771877
2000,2,GPU-NDS,11.335599899291992,0.32733519696092334,11.335599899291992,0.32733519696092334,1.0
5000,2,CPP-NSGA2,144.29379999999998,8.22073938037206,36.12478103637695,3.7084736720401303,3.9943162521787725
5000,2,CPP-DCNS,80.9255,4.863044031262726,36.12478103637695,3.7084736720401303,2.240165827400022
5000,2,CPP-BOS,12.8075,1.6701716229178365,36.12478103637695,3.7084736720401303,0.35453502090720207
