problem,N,M,algorithm,mean_ms,std_ms
DTLZ2,100,5,CPU-NSGA2,33.84841000079177,1.397206896729996
DTLZ2,100,5,CPU-DCNS,27.0256900053937,0.6293896039262876
DTLZ2,100,5,CPU-BOS,12.313100002938882,0.20758057890985607
DTLZ2,100,5,GPU-NDS,4.514227342605591,11.302865147239157
DTLZ2,100,5,Naive-GPU,0.5323008060455322,0.17293792303731678
DTLZ2,500,5,CPU-NSGA2,884.6273500064854,33.735092170841085
DTLZ2,500,5,CPU-DCNS,883.9611300034449,10.21481941391587
DTLZ2,500,5,CPU-BOS,146.6025400091894,6.0256136933281095
DTLZ2,500,5,GPU-NDS,1.3674400091171264,0.19255134676072658
DTLZ2,500,5,Naive-GPU,1.092857587337494,0.05054339670377885
DTLZ2,1000,5,CPU-NSGA2,3678.529770008754,120.82441110203857
DTLZ2,1000,5,CPU-DCNS,3470.311930013122,94.90363421095907
DTLZ2,1000,5,CPU-BOS,551.5689900028519,17.680367092694716
DTLZ2,1000,5,GPU-NDS,2.106499195098877,0.2547030737117349
DTLZ2,1000,5,Naive-GPU,1.7082847833633423,0.08519162064093531
DTLZ2,2000,5,CPU-NSGA2,14710.60790999909,344.0035651800344
DTLZ2,2000,5,CPU-DCNS,14260.673630004749,163.513490531972
DTLZ2,2000,5,CPU-BOS,1698.2384499977343,43.0971279829212
DTLZ2,2000,5,GPU-NDS,3.553913617134094,0.2157136274863365
DTLZ2,2000,5,Naive-GPU,3.084665584564209,0.02348529927240126
DTLZ2,5000,5,CPU-NSGA2,86913.21482000058,1593.6366456773042
DTLZ2,5000,5,CPU-DCNS,85370.43740000227,1344.7857283687986
DTLZ2,5000,5,CPU-BOS,8885.856660001446,75.99660690859851
DTLZ2,5000,5,GPU-NDS,10.318143844604492,0.5098027795188975
DTLZ2,5000,5,Naive-GPU,8.911824131011963,0.11319093889672557
DTLZ2,10000,5,CPU-NSGA2,,
DTLZ2,10000,5,CPU-DCNS,357146.90509000793,3890.318896647
DTLZ2,10000,5,CPU-BOS,,
DTLZ2,10000,5,GPU-NDS,23.282211303710938,1.9304519480695854
DTLZ2,10000,5,Naive-GPU,,
DTLZ7,100,5,CPU-NSGA2,36.55766999581829,1.5908346838448737
DTLZ7,100,5,CPU-DCNS,31.51362999342382,0.7679421460930711
DTLZ7,100,5,CPU-BOS,8.921260002534837,0.05800115000118971
DTLZ7,100,5,GPU-NDS,0.8780639886856079,0.16812249469774365
DTLZ7,100,5,Naive-GPU,0.5291519939899445,0.021573052337015123
DTLZ7,500,5,CPU-NSGA2,910.7798600045498,32.71868945473617
DTLZ7,500,5,CPU-DCNS,861.9668900035322,32.588157700153
DTLZ7,500,5,CPU-BOS,124.9448399990797,0.8216076010479815
DTLZ7,500,5,GPU-NDS,1.272979211807251,0.19474279626778265
DTLZ7,500,5,Naive-GPU,0.9657504022121429,0.018154711361262066
DTLZ7,1000,5,CPU-NSGA2,3731.1701399972662,139.6030034296837
DTLZ7,1000,5,CPU-DCNS,3608.6503400059883,51.5756369380289
DTLZ7,1000,5,CPU-BOS,468.57275999500416,14.896867823211757
DTLZ7,1000,5,GPU-NDS,1.8706464052200318,0.14891081598695732
DTLZ7,1000,5,Naive-GPU,1.6021375894546508,0.041467840500244255
DTLZ7,2000,5,CPU-NSGA2,14438.164810009766,356.40214138019655
DTLZ7,2000,5,CPU-DCNS,14110.817010008032,134.26981841287616
DTLZ7,2000,5,CPU-BOS,1617.9296800110023,62.54555839333115
